code~omschrijving~groepcode~groep~orde
hVb~Koopveengronden op bosveen (of eutroofbroekveen)~hV~koopveengronden~Veengronden
pMn82C~Kalkarme leek-/woudeerdgronden; klei, profielverloop 2~pMn~leek-/woudeerdgronden~Eerdgronden
pMn56C~Kalkarme leek-/woudeerdgronden; zavel, profielverloop 3, of 3 en 4, of 4~pMn~leek-/woudeerdgronden~Eerdgronden
pMn86C~Kalkarme leek-/woudeerdgronden; klei, profielverloop 3, of 3 en 4 of 4~pMn~leek-/woudeerdgronden~Eerdgronden
pMn55C~Kalkarme leek-/woudeerdgronden; zavel, profielverloop 5~pMn~leek-/woudeerdgronden~Eerdgronden
pMn85C~Kalkarme leek-/woudeerdgronden; klei, profielverloop 5~pMn~leek-/woudeerdgronden~Eerdgronden
pMd50~Hofeerdgronden; zavel~pMd~hofeerdgronden~Eerdgronden
pMd80~Hofeerdgronden; klei~pMd~hofeerdgronden~Eerdgronden
Mv51A~Kalkrijke drechtvaaggronden ; zavel, profielverloop 1~Mv~drechtvaaggronden~Eerdgronden
Mv81A~Kalkrijke drechtvaaggronden; klei, profielverloop 1~Mv~drechtvaaggronden~Eerdgronden
Mv61C~Kalkarme drechtvaaggronden; zavel en lichte klei, profielverloop 1~Mv~drechtvaaggronden~Eerdgronden
Mv41C~Kalkarme drechtvaaggronden; zware klei, profielverloop 1~Mv~drechtvaaggronden~Eerdgronden
Mo10A~Kalkrijke nesvaaggronden; lichte zavel~Mo~nesvaaggronden~Vaaggronden
Mo20A~Kalkrijke nesvaaggronden; zware zavel~Mo~nesvaaggronden~Vaaggronden
Mo80A~Kalkrijke nesvaaggronden; klei~Mo~nesvaaggronden~Vaaggronden
Mo50C~Kalkarme nesvaaggronden; zavel~Mo~nesvaaggronden~Vaaggronden
Mo80C~kalkarme nesvaaggronden; klei~Mo~nesvaaggronden~Vaaggronden
Mn12A~Kalkrijke poldervaaggronden; lichte zavel, profielverloop 2~Mn~poldervaaggronden~Vaaggronden
Mn22A~Kalkrijke poldervaaggronden; zware zavel, profielverloop 2~Mn~poldervaaggronden~Vaaggronden
Mn82A~Kalkrijke poldervaaggronden; klei, profielverloop 2~Mn~poldervaaggronden~Vaaggronden
Mn56A~Kalkrijke poldervaaggronden; zavel, profielverloop 3, of 3 en 4 of 4~Mn~poldervaaggronden~Vaaggronden
Mn86A~Kalkrijke poldervaaggronden; klei, profielverloop 3, of 3 en 4, of 4~Mn~poldervaaggronden~Vaaggronden
Mn15A~Kalkrijke poldervaaggronden; lichte zavel, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn25A~Kalkrijke poldervaaggronden; zware zavel, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn35A~Kalkrijke poldervaaggronden; lichte klei, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn45A~Kalkrijke poldervaaggronden; zware klei, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn52C~Kalkarme poldervaaggronden; zavel, profielverloop 2~Mn~poldervaaggronden~Vaaggronden
Mn82C~Kalkarme poldervaaggronden; klei, profielverloop 2~Mn~poldervaaggronden~Vaaggronden
Mn56C~Kalkarme poldervaaggronden; zavel, profielverloop 3, of 3 en 4, of 4~Mn~poldervaaggronden~Vaaggronden
Mn86C~Kalkarme poldervaaggronden; klei, profielverloop 3, of 3 en 4, of 4~Mn~poldervaaggronden~Vaaggronden
Mn15C~Kalkarme poldervaaggronden; lichte zavel, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn25C~Kalkarme poldervaaggronden; zware zavel, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
Mn85C~Kalkarme poldervaaggronden; klei, profielverloop 5~Mn~poldervaaggronden~Vaaggronden
gMn52C~Knippige poldervaaggronden; zavel, profielverloop 2~gMn~knippige poldervaaggronden~Vaaggronden
gMn82C~Knippige poldervaaggronden; klei, profielverloop 2~gMn~knippige poldervaaggronden~Vaaggronden
gMn53C~Knippige poldervaaggronden; zavel, profielverloop 3~gMn~knippige poldervaaggronden~Vaaggronden
gMn58C~Knippige poldervaaggronden; zavel, profielverloop 4, of 4 en 3~gMn~knippige poldervaaggronden~Vaaggronden
gMn83C~Knippige poldervaaggronden; klei, profielverloop 3~gMn~knippige poldervaaggronden~Vaaggronden
gMn88C~Knippige poldervaaggronden; klei, profielverloop 4, of 4 en 3~gMn~knippige poldervaaggronden~Vaaggronden
gMn15C~Knippige poldervaaggronden; lichte zavel, profielverloop 5~gMn~knippige poldervaaggronden~Vaaggronden
gMn25C~Knippige poldervaaggronden; zware zavel, profielverloop 5~gMn~knippige poldervaaggronden~Vaaggronden
gMn85C~Knippige poldervaaggronden; klei, profielverloop 5~gMn~knippige poldervaaggronden~Vaaggronden
